% reference_lines	peak_locations	peak_widths	peak_proms	relaerror	abserror
   4.2197400e+03   4.2415668e+03   1.6890837e+01   1.2152000e+01   5.1725462e-03   2.1826800e+01
   4.3795500e+03   4.6613051e+03   2.2377027e+01   1.8256500e+02   6.4334258e-02   2.8175510e+02
   4.3919900e+03   4.6870785e+03   1.3049742e+01   7.1950000e+01   6.7187881e-02   2.9508850e+02
   4.3979900e+03   4.7533530e+03   1.7461076e+01   1.2150500e+02   8.0801230e-02   3.5536300e+02
   4.4093000e+03   4.7828083e+03   1.1961145e+01   3.8273000e+01   8.4709206e-02   3.7350830e+02
   4.4309000e+03   4.8306732e+03   1.4206781e+01   3.3970000e+01   9.0223927e-02   3.9977320e+02
   4.4309400e+03   4.8711743e+03   4.3354938e+01   4.9930000e+01   9.9354606e-02   4.4023430e+02
   5.8524900e+03   4.9337669e+03   4.2095637e+01   5.8856000e+01  -1.5697987e-01  -9.1872310e+02
   6.1821500e+03   5.0147690e+03   1.5779396e+01   4.9582000e+01  -1.8883091e-01  -1.1673810e+03
   6.2172800e+03   5.0626339e+03   1.8853475e+01   6.0253000e+01  -1.8571563e-01  -1.1546461e+03
   6.2665000e+03   5.0994531e+03   1.2537703e+01   1.2999000e+01  -1.8623584e-01  -1.1670469e+03
   6.4022500e+03   5.1399542e+03   2.4470649e+01   4.9777000e+01  -1.9716440e-01  -1.2622958e+03
   6.5065300e+03   5.2099105e+03   4.6121270e+01   5.4974000e+01  -1.9927972e-01  -1.2966195e+03
   6.5989500e+03   5.3019584e+03   2.3012671e+01   6.2987000e+01  -1.9654515e-01  -1.2969916e+03
